# Scored with application/robotic_arm/utils/wb_l1_metrics.py (npz are gitignored).
# All runs on fsc_lab_machine (RTF 0.336), --hold-between 16. See README.md sections 4-5.
# calib_* per-joint sqrt(2) conv | conva_* per-joint in-band conv | unif7 the 09-09
# uniform 7 mA | ideal* exact torque source | calib_hl = shipped per-joint, HEADLESS.

metric                            l1_calib_A.npz          l1_calib_B.npz          l1_conva_A.npz          l1_conva_B.npz            l1_unif7.npz            l1_ideal.npz          l1_ideal_B.npz         l1_calib_hl.npz
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
observer                                      L1                      L1                      L1                      L1                      L1                      L1                      L1                      L1
aborted                                     True                    True                    True                   False                    True                    True                    True                    True
direct_s [s]                               258.3                   165.3                   164.6                   279.3                    91.3                   104.7                   149.7                   277.8
soak_s [s]                                 238.3                   145.3                   144.6                   259.3                    71.3                    84.7                   129.7                   257.8
dhat_rise90_s [s]                           1.39                    1.32                    1.19                    1.36                    1.18                    1.32                    1.40                    1.31
entry_sag_mm [mm]                             94                      91                     105                      98                     104                      96                      89                      94
entry_xy_max_mm [mm]                         394                     390                     421                     399                     414                     396                     365                     391
entry_peak_com_mm [mm]                     394.3                   390.3                   421.1                   399.9                   414.8                   396.2                   365.4                   390.7
entry_settle_s [s]                           inf                     inf                     inf                   267.0                     inf                     inf                     inf                     inf
com_err_mean_mm [mm]                       44.87                   56.76                   46.73                   41.91                   63.91                   59.59                   52.54                   40.51
com_err_rms_mm [mm]                        74.14                   87.44                   79.59                   71.70                   99.96                   94.35                   86.19                   72.17
com_err_max_mm [mm]                       318.53                  329.31                  309.63                  324.86                  317.45                  319.75                  309.90                  335.58
ee_err_mean_mm [mm]                         6.45                    5.75                    4.94                    5.13                    3.67                    3.79                    4.27                    5.67
ee_err_max_mm [mm]                         44.79                   40.78                   42.24                   43.41                   31.02                   33.64                   42.76                   42.68
late_com_mm [mm]                           60.85                   19.95                   12.43                   20.89                   81.44                   63.50                   23.80                   24.76
late_com_max_mm [mm]                      231.71                   91.40                   78.06                   87.95                  303.61                  310.25                   72.27                   93.09
tilt_pp_deg [deg]                         19.091                  19.296                  18.660                   4.345                  20.124                  19.513                  19.934                  20.201
tilt_mean_deg [deg]                        1.693                   1.837                   1.461                   0.970                   1.615                   1.972                   1.635                   1.206
eR_max                                    0.2909                  0.2896                  0.2848                  0.2327                  0.2783                  0.2610                  0.3459                  0.2855
u1_mean_N [N]                             47.664                  47.634                  47.612                  47.574                  47.619                  47.660                  47.641                  47.597
