# Scored with application/robotic_arm/utils/wb_l1_metrics.py (npz are gitignored).
# noise_A = 6 s holds (not comparable on settled numbers); noise_B/C = 16 s,
# matched with the ideal-arm baseline posture_ablation_20260909/l1_mission_kx32.npz.

metric                            l1_noise_A.npz          l1_noise_B.npz          l1_noise_C.npz     l1_mission_kx32.npz
------------------------------------------------------------------------------------------------------------------------
observer                                      L1                      L1                      L1                      L1
aborted                                    False                   False                   False                   False
direct_s [s]                               166.2                   276.2                   314.0                   276.9
soak_s [s]                                 146.2                   256.2                   294.0                   256.9
dhat_rise90_s [s]                           1.16                    1.22                    0.92                    1.20
entry_sag_mm [mm]                            113                     110                     125                     110
entry_xy_max_mm [mm]                         426                     414                     439                     406
entry_peak_com_mm [mm]                     427.7                   415.5                   441.0                   410.7
entry_settle_s [s]                         158.1                   248.1                   224.2                   248.9
com_err_mean_mm [mm]                       31.27                   20.96                   16.90                   18.79
com_err_rms_mm [mm]                        54.30                   43.43                   38.09                   42.69
com_err_max_mm [mm]                       224.52                  226.31                  217.04                  222.18
ee_err_mean_mm [mm]                         4.67                    3.47                    3.19                    2.94
ee_err_max_mm [mm]                         31.34                   33.35                   28.50                   30.41
late_com_mm [mm]                           39.44                    9.57                    5.41                    4.99
late_com_max_mm [mm]                      138.76                   50.03                   10.36                   56.62
tilt_pp_deg [deg]                          2.778                   3.082                   2.952                   2.783
tilt_mean_deg [deg]                        0.592                   0.441                   0.385                   0.337
eR_max                                    0.1802                  0.1814                  0.1598                  0.1695
u1_mean_N [N]                             47.565                  47.563                  47.562                  47.562
tau_max_Nm [N.m]                           0.784                   0.798                   0.785                   0.751
n_sat_frac                                 0.000                   0.000                   0.000                   0.000
stream_fresh_frac                          1.000                   1.000                   1.000                   1.000
dhat_z_N [N]                             -10.810                 -10.809                 -10.809                 -10.809
dhat_xy_N [N]                              0.273                   0.194                   0.179                   0.165
dhat_rot_Nm [N.m]                         0.6343                  0.6343                  0.6337                  0.6341
dhat_q1_Nm [N.m]                         -0.0004                 -0.0003                 -0.0001                  0.0000
dhat_q2_Nm [N.m]                          0.2077                  0.2077                  0.2080                  0.2073
dhat_q3_Nm [N.m]                          0.0705                  0.0697                  0.0739                  0.0688
dhat_q4_Nm [N.m]                         -0.0011                 -0.0009                 -0.0000                 -0.0005
tau_q1_Nm [N.m]                           0.0004                  0.0003                  0.0001                 -0.0000
tau_q2_Nm [N.m]                           0.7077                  0.7060                  0.7073                  0.7045
tau_q3_Nm [N.m]                           0.2367                  0.2351                  0.2501                  0.2337
tau_q4_Nm [N.m]                          -0.0013                 -0.0014                  0.0017                 -0.0019
tau_arm_absmean_Nm [N.m]                  0.2420                  0.2412                  0.2454                  0.2364
q1_err_deg [deg]                           0.148                   0.104                   0.177                   0.070
q2_err_deg [deg]                          -0.524                  -0.470                  -0.407                  -0.442
