metric                         l1_mismatch_A.npz        l1_matched_B.npz         l1_uncomp_C.npz     l1_mission_kx32.npz
------------------------------------------------------------------------------------------------------------------------
observer                                      L1                      L1                      L1                      L1
aborted                                    False                   False                   False                   False
direct_s [s]                               277.7                   309.7                   276.4                   276.9
soak_s [s]                                 257.7                   289.7                   256.4                   256.9
dhat_rise90_s [s]                           0.93                    1.27                    1.16                    1.20
entry_sag_mm [mm]                            121                     109                     106                     110
entry_xy_max_mm [mm]                         445                     433                     433                     406
entry_peak_com_mm [mm]                     444.7                   433.2                   433.0                   410.7
entry_settle_s [s]                         276.1                     inf                   269.9                   248.9
com_err_mean_mm [mm]                       38.46                   29.54                   41.69                   18.79
com_err_rms_mm [mm]                        57.76                   44.96                   57.17                   42.69
com_err_max_mm [mm]                       267.78                  235.58                  250.92                  222.18
ee_err_mean_mm [mm]                         7.52                    4.78                    8.20                    2.94
ee_err_max_mm [mm]                         32.17                   29.87                   27.49                   30.41
late_com_mm [mm]                           23.96                   17.78                   35.76                    4.99
late_com_max_mm [mm]                       44.30                   44.99                  118.96                   56.62
tilt_pp_deg [deg]                          3.345                   3.584                   3.188                   2.783
tilt_mean_deg [deg]                        0.867                   0.837                   0.631                   0.337
eR_max                                    0.1606                  0.1670                  0.1622                  0.1695
u1_mean_N [N]                             47.940                  47.573                  47.933                  47.562
tau_max_Nm [N.m]                           1.001                   0.953                   1.058                   0.751
n_sat_frac                                 0.000                   0.000                   0.000                   0.000
stream_fresh_frac                          1.000                   1.000                   1.000                   1.000
dhat_z_N [N]                             -11.182                 -10.816                 -11.177                 -10.809
dhat_xy_N [N]                              0.287                   0.248                   0.274                   0.165
dhat_rot_Nm [N.m]                         0.6339                  0.6317                  0.6326                  0.6341
dhat_q1_Nm [N.m]                         -0.0006                 -0.0004                 -0.0005                  0.0000
dhat_q2_Nm [N.m]                          0.1691                  0.2036                  0.1690                  0.2073
dhat_q3_Nm [N.m]                          0.0498                  0.0547                  0.0582                  0.0688
dhat_q4_Nm [N.m]                         -0.0035                  0.0012                 -0.0011                 -0.0005
tau_q1_Nm [N.m]                           0.0005                  0.0004                  0.0005                 -0.0000
tau_q2_Nm [N.m]                           0.7333                  0.7145                  0.7283                  0.7045
tau_q3_Nm [N.m]                           0.2525                  0.2352                  0.2439                  0.2337
tau_q4_Nm [N.m]                           0.0010                 -0.0051                 -0.0016                 -0.0019
tau_arm_absmean_Nm [N.m]                  0.2601                  0.2500                  0.2569                  0.2364
q1_err_deg [deg]                          -0.017                   0.090                   0.050                   0.070
q2_err_deg [deg]                          -0.881                   0.167                  -1.266                  -0.442
q3_err_deg [deg]                           2.611                   0.308                   2.948                   0.846
q4_err_deg [deg]                          -0.256                  -1.483                  -0.774                  -1.053
q2_abserr_deg [deg]                        0.892                   0.438                   1.456                   0.581
