t,bx,by,bz,roll,pitch,yaw,cx,cy,cz,dist,q1,q2,q3,q4,m0,m1,m2,m3
0.0174,0.0011,-0.0001,0.3055,-0.0001,-0.0000,0.0035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0459,0.0011,-0.0001,0.3055,-0.0000,0.0000,0.0034,nan,nan,nan,nan,0.0318,39.3205,39.7723,0.0503,nan,nan,nan,nan
0.0698,0.0011,-0.0001,0.3055,-0.0000,0.0000,0.0034,nan,nan,nan,nan,0.0320,39.3205,39.7736,0.0512,nan,nan,nan,nan
0.0972,0.0011,-0.0001,0.3055,-0.0000,-0.0000,0.0034,nan,nan,nan,nan,0.0331,39.3190,39.7749,0.0519,nan,nan,nan,nan
0.1193,0.0011,-0.0001,0.3055,-0.0000,0.0000,0.0034,nan,nan,nan,nan,0.0353,39.3162,39.7735,0.0531,nan,nan,nan,nan
0.1438,0.0011,-0.0001,0.3055,-0.0000,0.0000,0.0034,nan,nan,nan,nan,0.0348,39.3143,39.7650,0.0511,nan,nan,nan,nan
0.1708,0.0011,-0.0001,0.3055,-0.0000,0.0000,0.0034,nan,nan,nan,nan,0.0278,39.3143,39.7578,0.0540,nan,nan,nan,nan
0.1945,0.0011,-0.0001,0.3055,-0.0000,-0.0000,0.0034,nan,nan,nan,nan,0.0168,39.3153,39.7534,0.0612,nan,nan,nan,nan
0.2182,0.0011,-0.0001,0.3055,-0.0001,0.0000,0.0034,nan,nan,nan,nan,-0.0019,39.3167,39.7551,0.0660,nan,nan,nan,nan
0.2501,0.0011,-0.0001,0.3055,0.0000,-0.0000,0.0034,nan,nan,nan,nan,-0.0247,39.3166,39.7574,0.0719,nan,nan,nan,nan
0.2871,0.0011,-0.0001,0.3055,-0.0000,-0.0000,0.0034,nan,nan,nan,nan,-0.0473,39.3136,39.7580,0.0743,nan,nan,nan,nan
0.3109,0.0011,-0.0001,0.3055,-0.0000,-0.0000,0.0034,nan,nan,nan,nan,-0.0594,39.3131,39.7597,0.0744,nan,nan,nan,nan
0.3318,0.0011,-0.0001,0.3055,-0.0000,0.0000,0.0034,nan,nan,nan,nan,-0.0610,39.3125,39.7599,0.0750,nan,nan,nan,nan
0.3597,0.0011,-0.0001,0.3055,-0.0000,-0.0000,0.0035,nan,nan,nan,nan,-0.0592,39.3102,39.7598,0.0772,nan,nan,nan,nan
0.3891,0.0011,-0.0001,0.3055,-0.0000,-0.0000,0.0034,nan,nan,nan,nan,-0.0554,39.3089,39.7611,0.0731,nan,nan,nan,nan
