t,bx,by,bz,roll,pitch,yaw,cx,cy,cz,dist,q1,q2,q3,q4,m0,m1,m2,m3
0.0253,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0502,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0014,0.2108,0.2756,0.1287,34.4555,36.6142,0.0738,nan,nan,nan,nan
0.0789,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0014,0.2108,0.2756,0.1270,34.4601,36.6185,0.0759,nan,nan,nan,nan
0.1125,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0014,0.2108,0.2756,0.1258,34.4630,36.6206,0.0789,nan,nan,nan,nan
0.1386,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0014,0.2108,0.2756,0.1204,34.4654,36.6236,0.0805,nan,nan,nan,nan
0.1686,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0014,0.2108,0.2755,0.1152,34.4658,36.6255,0.0795,nan,nan,nan,nan
0.1905,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1130,34.4666,36.6238,0.0781,nan,nan,nan,nan
0.2118,-0.0001,0.0002,0.3055,-0.0001,-0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1118,34.4665,36.6227,0.0797,nan,nan,nan,nan
0.2387,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1115,34.4651,36.6218,0.0823,nan,nan,nan,nan
0.2630,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1102,34.4643,36.6231,0.0816,nan,nan,nan,nan
0.2862,-0.0001,0.0002,0.3055,-0.0001,0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1096,34.4642,36.6235,0.0815,nan,nan,nan,nan
0.3170,-0.0001,0.0002,0.3055,-0.0001,-0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1067,34.4655,36.6193,0.0841,nan,nan,nan,nan
0.3405,-0.0001,0.0002,0.3055,-0.0001,-0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1041,34.4660,36.6159,0.0867,nan,nan,nan,nan
0.3674,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.0985,34.4664,36.6101,0.0897,nan,nan,nan,nan
0.3947,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.0952,34.4657,36.6089,0.0892,nan,nan,nan,nan
0.4215,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0897,34.4655,36.6080,0.0887,nan,nan,nan,nan
0.4445,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0857,34.4675,36.6038,0.0893,nan,nan,nan,nan
0.4707,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0833,34.4679,36.6034,0.0911,nan,nan,nan,nan
0.4988,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0790,34.4689,36.6035,0.0922,nan,nan,nan,nan
0.5257,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0765,34.4704,36.6036,0.0910,nan,nan,nan,nan
0.5462,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0759,34.4735,36.5998,0.0884,nan,nan,nan,nan
0.5732,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0794,34.4753,36.5966,0.0840,nan,nan,nan,nan
0.6038,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0016,0.2108,0.2756,0.0867,34.4792,36.5943,0.0782,nan,nan,nan,nan
0.6268,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.0952,34.4831,36.5961,0.0739,nan,nan,nan,nan
0.6475,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0015,0.2108,0.2756,0.1022,34.4856,36.5975,0.0737,nan,nan,nan,nan
0.6685,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0015,0.2109,0.2756,0.1135,34.4902,36.5984,0.0768,nan,nan,nan,nan
0.6976,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0014,0.2109,0.2756,0.1265,34.4948,36.5971,0.0784,nan,nan,nan,nan
0.7247,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0013,0.2109,0.2756,0.1390,34.4950,36.5914,0.0771,nan,nan,nan,nan
0.7618,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0013,0.2109,0.2756,0.1446,34.4953,36.5859,0.0769,nan,nan,nan,nan
0.7828,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0013,0.2109,0.2756,0.1436,34.4962,36.5835,0.0718,nan,nan,nan,nan
0.8037,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0013,0.2108,0.2756,0.1405,34.4969,36.5822,0.0677,nan,nan,nan,nan
0.8338,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0014,0.2109,0.2756,0.1338,34.4979,36.5812,0.0624,nan,nan,nan,nan
0.8662,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0014,0.2109,0.2756,0.1303,34.4998,36.5793,0.0563,nan,nan,nan,nan
0.8895,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0014,0.2109,0.2756,0.1312,34.5008,36.5797,0.0536,nan,nan,nan,nan
0.9178,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0014,0.2109,0.2756,0.1332,34.5020,36.5787,0.0510,nan,nan,nan,nan
0.9515,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2588,-0.0014,0.2109,0.2756,0.1304,34.5042,36.5754,0.0418,nan,nan,nan,nan
0.9746,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2587,-0.0014,0.2109,0.2756,0.1186,34.5063,36.5772,0.0327,nan,nan,nan,nan
1.0040,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2587,-0.0015,0.2109,0.2756,0.1014,34.5069,36.5793,0.0321,nan,nan,nan,nan
1.0302,-0.0001,0.0002,0.3055,0.0000,-0.0000,-0.1323,0.2588,-0.0016,0.2109,0.2756,0.0854,34.5053,36.5750,0.0361,nan,nan,nan,nan
1.0585,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2588,-0.0016,0.2108,0.2756,0.0740,34.5016,36.5689,0.0327,nan,nan,nan,nan
1.0889,-0.0001,0.0002,0.3055,-0.0001,0.0000,-0.1323,0.2588,-0.0017,0.2108,0.2757,0.0658,34.4982,36.5621,0.0242,nan,nan,nan,nan
1.1170,-0.0001,0.0002,0.3055,-0.0001,-0.0000,-0.1322,0.2588,-0.0017,0.2108,0.2757,0.0496,34.4938,36.5549,0.0196,nan,nan,nan,nan
1.1480,-0.0001,0.0002,0.3055,0.0000,0.0000,-0.1323,0.2588,-0.0019,0.2107,0.2757,0.0239,34.4894,36.5493,0.0193,nan,nan,nan,nan
1.1781,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2588,-0.0020,0.2107,0.2757,-0.0033,34.4842,36.5479,0.0170,nan,nan,nan,nan
1.2170,-0.0001,0.0002,0.3055,0.0000,-0.0000,-0.1323,0.2588,-0.0021,0.2107,0.2757,-0.0203,34.4816,36.5448,0.0135,nan,nan,nan,nan
1.2419,-0.0001,0.0002,0.3055,0.0000,-0.0000,-0.1323,0.2588,-0.0021,0.2107,0.2757,-0.0252,34.4806,36.5433,0.0124,nan,nan,nan,nan
1.2648,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2588,-0.0021,0.2106,0.2757,-0.0282,34.4770,36.5411,0.0127,nan,nan,nan,nan
1.2961,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2588,-0.0021,0.2106,0.2757,-0.0283,34.4722,36.5402,0.0164,nan,nan,nan,nan
1.3163,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2588,-0.0021,0.2106,0.2758,-0.0276,34.4699,36.5380,0.0186,nan,nan,nan,nan
1.3366,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2588,-0.0021,0.2106,0.2758,-0.0235,34.4673,36.5334,0.0245,nan,nan,nan,nan
1.3580,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2588,-0.0020,0.2106,0.2758,-0.0158,34.4656,36.5286,0.0261,nan,nan,nan,nan
1.3807,-0.0001,0.0002,0.3055,-0.0000,-0.0000,-0.1323,0.2588,-0.0020,0.2105,0.2758,-0.0051,34.4632,36.5248,0.0236,nan,nan,nan,nan
1.4070,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2588,-0.0020,0.2105,0.2758,0.0025,34.4618,36.5248,0.0227,nan,nan,nan,nan
1.4323,-0.0001,0.0002,0.3055,-0.0001,-0.0000,-0.1323,0.2588,-0.0019,0.2105,0.2758,0.0147,34.4608,36.5260,0.0249,nan,nan,nan,nan
1.4676,-0.0001,0.0002,0.3055,-0.0000,0.0000,-0.1323,0.2588,-0.0018,0.2105,0.2758,0.0376,34.4614,36.5282,0.0225,nan,nan,nan,nan
