t,bx,by,bz,roll,pitch,yaw,cx,cy,cz,dist,q1,q2,q3,q4,m0,m1,m2,m3
0.6735,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0008,0.1789,0.2896,0.1809,29.6066,33.2212,-0.0317,nan,nan,nan,nan
0.7070,0.0003,-0.0000,0.3055,-0.0001,0.0000,-0.0107,0.2607,-0.0009,0.1789,0.2896,0.1779,29.6076,33.2236,-0.0315,nan,nan,nan,nan
0.7353,0.0003,-0.0000,0.3055,-0.0000,-0.0000,-0.0107,0.2607,-0.0009,0.1789,0.2896,0.1636,29.6094,33.2254,-0.0325,nan,nan,nan,nan
0.7709,0.0003,-0.0000,0.3055,-0.0000,-0.0000,-0.0107,0.2607,-0.0010,0.1789,0.2896,0.1449,29.6105,33.2265,-0.0295,nan,nan,nan,nan
0.7924,0.0003,-0.0000,0.3055,-0.0000,-0.0000,-0.0107,0.2607,-0.0011,0.1789,0.2895,0.1370,29.6119,33.2261,-0.0295,nan,nan,nan,nan
0.8132,0.0003,-0.0000,0.3055,0.0000,-0.0000,-0.0107,0.2607,-0.0011,0.1789,0.2895,0.1305,29.6130,33.2263,-0.0302,nan,nan,nan,nan
0.8459,0.0003,-0.0000,0.3055,0.0000,-0.0000,-0.0107,0.2607,-0.0011,0.1789,0.2895,0.1212,29.6145,33.2271,-0.0283,nan,nan,nan,nan
0.8673,0.0003,-0.0000,0.3055,0.0000,-0.0000,-0.0107,0.2607,-0.0011,0.1789,0.2895,0.1178,29.6145,33.2298,-0.0215,nan,nan,nan,nan
0.8883,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0011,0.1790,0.2895,0.1156,29.6156,33.2307,-0.0146,nan,nan,nan,nan
0.9246,0.0003,-0.0000,0.3055,-0.0001,0.0000,-0.0107,0.2607,-0.0011,0.1790,0.2895,0.1120,29.6192,33.2296,-0.0040,nan,nan,nan,nan
0.9565,0.0003,-0.0000,0.3055,-0.0000,-0.0000,-0.0107,0.2607,-0.0012,0.1790,0.2895,0.1078,29.6232,33.2305,0.0120,nan,nan,nan,nan
0.9814,0.0003,-0.0000,0.3055,-0.0000,-0.0000,-0.0107,0.2607,-0.0012,0.1790,0.2895,0.1051,29.6257,33.2312,0.0180,nan,nan,nan,nan
1.0055,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0012,0.1790,0.2895,0.1039,29.6285,33.2328,0.0196,nan,nan,nan,nan
1.0273,0.0003,-0.0000,0.3055,-0.0001,-0.0000,-0.0107,0.2607,-0.0012,0.1790,0.2895,0.1074,29.6323,33.2356,0.0239,nan,nan,nan,nan
1.0582,0.0003,-0.0000,0.3055,-0.0001,0.0000,-0.0107,0.2607,-0.0011,0.1790,0.2895,0.1179,29.6307,33.2388,0.0289,nan,nan,nan,nan
1.0815,0.0003,-0.0000,0.3055,-0.0001,0.0000,-0.0107,0.2607,-0.0011,0.1790,0.2895,0.1244,29.6276,33.2414,0.0317,nan,nan,nan,nan
1.1088,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1314,29.6249,33.2435,0.0342,nan,nan,nan,nan
1.1375,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1454,29.6205,33.2447,0.0383,nan,nan,nan,nan
1.1593,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1521,29.6177,33.2483,0.0415,nan,nan,nan,nan
1.1814,0.0003,-0.0000,0.3055,-0.0001,0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1530,29.6172,33.2493,0.0435,nan,nan,nan,nan
1.2119,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1516,29.6189,33.2509,0.0470,nan,nan,nan,nan
1.2357,0.0003,-0.0000,0.3055,-0.0000,0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1474,29.6202,33.2511,0.0471,nan,nan,nan,nan
1.2630,0.0003,-0.0000,0.3055,-0.0000,-0.0000,-0.0107,0.2607,-0.0010,0.1790,0.2895,0.1438,29.6215,33.2502,0.0467,nan,nan,nan,nan
