t,bx,by,bz,roll,pitch,yaw,cx,cy,cz,dist,q1,q2,q3,q4,m0,m1,m2,m3
0.0601,0.0002,0.0002,0.3055,0.0000,0.0000,0.0119,0.2556,-0.0003,0.2324,0.2656,0.2382,37.8556,38.9210,-0.0227,nan,nan,nan,nan
0.0841,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0004,0.2323,0.2656,0.2248,37.8539,38.9181,-0.0339,nan,nan,nan,nan
0.1133,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2323,0.2656,0.2106,37.8513,38.9140,-0.0357,nan,nan,nan,nan
0.1388,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2323,0.2656,0.2016,37.8492,38.9089,-0.0315,nan,nan,nan,nan
0.1589,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2323,0.2657,0.1999,37.8482,38.9086,-0.0309,nan,nan,nan,nan
0.1801,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2323,0.2657,0.1981,37.8479,38.9081,-0.0327,nan,nan,nan,nan
0.2097,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2556,-0.0005,0.2323,0.2657,0.1959,37.8478,38.9085,-0.0344,nan,nan,nan,nan
0.2321,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2556,-0.0005,0.2323,0.2656,0.1951,37.8482,38.9083,-0.0344,nan,nan,nan,nan
0.2523,0.0002,0.0002,0.3055,0.0000,0.0000,0.0119,0.2556,-0.0005,0.2323,0.2656,0.1957,37.8499,38.9098,-0.0389,nan,nan,nan,nan
0.2796,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2323,0.2656,0.1987,37.8526,38.9112,-0.0447,nan,nan,nan,nan
0.3047,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2323,0.2656,0.2030,37.8540,38.9164,-0.0512,nan,nan,nan,nan
0.3286,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0005,0.2324,0.2656,0.2079,37.8548,38.9237,-0.0541,nan,nan,nan,nan
0.3514,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0120,0.2555,-0.0005,0.2324,0.2656,0.2113,37.8551,38.9278,-0.0541,nan,nan,nan,nan
0.3765,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0004,0.2324,0.2656,0.2170,37.8544,38.9336,-0.0570,nan,nan,nan,nan
0.4028,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0004,0.2324,0.2656,0.2165,37.8532,38.9364,-0.0594,nan,nan,nan,nan
0.4247,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.2085,37.8494,38.9419,-0.0652,nan,nan,nan,nan
0.4498,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.2004,37.8461,38.9452,-0.0693,nan,nan,nan,nan
0.4844,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0006,0.2324,0.2656,0.1811,37.8431,38.9488,-0.0780,nan,nan,nan,nan
0.5103,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0006,0.2324,0.2656,0.1716,37.8432,38.9508,-0.0816,nan,nan,nan,nan
0.5367,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0006,0.2324,0.2656,0.1688,37.8443,38.9526,-0.0840,nan,nan,nan,nan
0.5718,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0006,0.2324,0.2655,0.1706,37.8468,38.9540,-0.0850,nan,nan,nan,nan
0.5958,0.0002,0.0002,0.3055,-0.0001,0.0000,0.0119,0.2555,-0.0006,0.2324,0.2655,0.1754,37.8500,38.9537,-0.0788,nan,nan,nan,nan
0.6221,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0006,0.2324,0.2655,0.1764,37.8509,38.9522,-0.0737,nan,nan,nan,nan
0.6447,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0006,0.2324,0.2655,0.1710,37.8518,38.9501,-0.0678,nan,nan,nan,nan
0.6709,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0007,0.2324,0.2655,0.1688,37.8520,38.9501,-0.0645,nan,nan,nan,nan
0.7047,0.0002,0.0002,0.3055,0.0000,-0.0000,0.0119,0.2555,-0.0007,0.2324,0.2655,0.1623,37.8547,38.9503,-0.0587,nan,nan,nan,nan
0.7280,0.0002,0.0002,0.3055,0.0000,-0.0000,0.0119,0.2555,-0.0007,0.2324,0.2655,0.1584,37.8556,38.9506,-0.0585,nan,nan,nan,nan
0.7539,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0007,0.2324,0.2655,0.1523,37.8563,38.9516,-0.0568,nan,nan,nan,nan
0.7771,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2555,-0.0007,0.2324,0.2655,0.1538,37.8581,38.9518,-0.0507,nan,nan,nan,nan
0.8046,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0007,0.2324,0.2655,0.1629,37.8591,38.9486,-0.0425,nan,nan,nan,nan
0.8350,0.0002,0.0002,0.3055,-0.0000,-0.0001,0.0119,0.2555,-0.0006,0.2324,0.2656,0.1825,37.8592,38.9442,-0.0367,nan,nan,nan,nan
0.8676,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.1986,37.8595,38.9423,-0.0385,nan,nan,nan,nan
0.8899,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.2022,37.8595,38.9404,-0.0409,nan,nan,nan,nan
0.9134,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.2039,37.8587,38.9379,-0.0459,nan,nan,nan,nan
0.9369,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.2052,37.8581,38.9350,-0.0481,nan,nan,nan,nan
0.9598,0.0002,0.0002,0.3055,0.0000,0.0000,0.0119,0.2555,-0.0005,0.2324,0.2656,0.2087,37.8572,38.9337,-0.0517,nan,nan,nan,nan
0.9813,0.0002,0.0002,0.3055,0.0000,0.0000,0.0119,0.2555,-0.0004,0.2324,0.2656,0.2139,37.8544,38.9348,-0.0538,nan,nan,nan,nan
1.0044,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0004,0.2324,0.2656,0.2154,37.8527,38.9341,-0.0546,nan,nan,nan,nan
1.0253,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0004,0.2324,0.2656,0.2148,37.8500,38.9317,-0.0528,nan,nan,nan,nan
1.0591,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2323,0.2656,0.2081,37.8476,38.9293,-0.0543,nan,nan,nan,nan
1.0841,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0005,0.2323,0.2656,0.2006,37.8469,38.9276,-0.0560,nan,nan,nan,nan
1.1066,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2556,-0.0006,0.2323,0.2656,0.1914,37.8474,38.9241,-0.0565,nan,nan,nan,nan
1.1397,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0007,0.2323,0.2656,0.1637,37.8489,38.9185,-0.0549,nan,nan,nan,nan
1.1647,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0008,0.2323,0.2656,0.1337,37.8506,38.9176,-0.0541,nan,nan,nan,nan
1.1878,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0009,0.2323,0.2656,0.1146,37.8520,38.9191,-0.0545,nan,nan,nan,nan
1.2118,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2556,-0.0010,0.2324,0.2656,0.0915,37.8552,38.9215,-0.0574,nan,nan,nan,nan
1.2407,0.0002,0.0002,0.3055,-0.0001,-0.0000,0.0120,0.2555,-0.0011,0.2324,0.2656,0.0636,37.8591,38.9268,-0.0617,nan,nan,nan,nan
1.2698,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2555,-0.0012,0.2324,0.2656,0.0377,37.8606,38.9295,-0.0638,nan,nan,nan,nan
1.3046,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0014,0.2324,0.2656,0.0087,37.8605,38.9321,-0.0643,nan,nan,nan,nan
1.3295,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0015,0.2324,0.2656,-0.0178,37.8596,38.9359,-0.0666,nan,nan,nan,nan
1.3502,0.0002,0.0002,0.3055,-0.0001,0.0000,0.0120,0.2555,-0.0016,0.2324,0.2656,-0.0275,37.8592,38.9371,-0.0673,nan,nan,nan,nan
1.3769,0.0002,0.0002,0.3055,-0.0001,-0.0000,0.0120,0.2555,-0.0017,0.2324,0.2656,-0.0680,37.8569,38.9445,-0.0640,nan,nan,nan,nan
1.3980,0.0002,0.0002,0.3055,-0.0001,-0.0000,0.0120,0.2555,-0.0018,0.2324,0.2655,-0.0946,37.8548,38.9520,-0.0614,nan,nan,nan,nan
1.4214,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0019,0.2324,0.2655,-0.1100,37.8545,38.9582,-0.0609,nan,nan,nan,nan
1.4457,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2555,-0.0020,0.2325,0.2655,-0.1295,37.8568,38.9632,-0.0591,nan,nan,nan,nan
1.4721,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0021,0.2325,0.2655,-0.1503,37.8631,38.9673,-0.0493,nan,nan,nan,nan
1.5089,0.0002,0.0002,0.3055,0.0000,-0.0000,0.0119,0.2555,-0.0022,0.2325,0.2655,-0.1753,37.8703,38.9690,-0.0330,nan,nan,nan,nan
1.5340,0.0002,0.0002,0.3055,0.0000,-0.0000,0.0119,0.2555,-0.0023,0.2326,0.2655,-0.1939,37.8752,38.9685,-0.0225,nan,nan,nan,nan
1.5560,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0023,0.2326,0.2655,-0.1997,37.8765,38.9678,-0.0207,nan,nan,nan,nan
1.5838,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0023,0.2326,0.2655,-0.2100,37.8817,38.9636,-0.0210,nan,nan,nan,nan
1.6055,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0023,0.2326,0.2655,-0.2058,37.8832,38.9635,-0.0216,nan,nan,nan,nan
1.6301,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0023,0.2326,0.2655,-0.1938,37.8833,38.9648,-0.0243,nan,nan,nan,nan
1.6558,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0022,0.2326,0.2655,-0.1811,37.8839,38.9654,-0.0277,nan,nan,nan,nan
1.6817,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0021,0.2326,0.2655,-0.1527,37.8859,38.9649,-0.0386,nan,nan,nan,nan
1.7096,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2555,-0.0020,0.2326,0.2655,-0.1317,37.8862,38.9653,-0.0461,nan,nan,nan,nan
1.7353,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0019,0.2326,0.2655,-0.1037,37.8862,38.9651,-0.0511,nan,nan,nan,nan
1.7721,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2555,-0.0017,0.2326,0.2655,-0.0787,37.8854,38.9636,-0.0543,nan,nan,nan,nan
1.7927,0.0002,0.0002,0.3055,-0.0000,0.0000,0.0119,0.2555,-0.0017,0.2326,0.2655,-0.0683,37.8849,38.9585,-0.0559,nan,nan,nan,nan
1.8161,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0017,0.2326,0.2655,-0.0632,37.8847,38.9522,-0.0588,nan,nan,nan,nan
1.8387,0.0002,0.0002,0.3055,0.0000,-0.0000,0.0119,0.2555,-0.0017,0.2326,0.2655,-0.0604,37.8850,38.9483,-0.0600,nan,nan,nan,nan
1.8693,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0016,0.2325,0.2655,-0.0548,37.8839,38.9436,-0.0649,nan,nan,nan,nan
1.9066,0.0002,0.0002,0.3055,-0.0000,-0.0000,0.0119,0.2555,-0.0016,0.2325,0.2655,-0.0480,37.8812,38.9429,-0.0689,nan,nan,nan,nan
