metric                         l1_4d_4d_best_A     l1_4d_4d_best_B        l1_4d_4d_blk   l1_4d_4d_blk_slow     l1_4d_4d_wx0p25      l1_4d_4d_wx0p5        l1_4d_4d_wx2        l1_4d_4d_wx6             l1_6d_A             l1_6d_B
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
observer                                    L1                  L1                  L1                  L1                  L1                  L1                  L1                  L1                  L1                  L1
aborted                                  False               False               False               False               False               False               False               False               False               False
direct_s [s]                             312.9               313.3               274.7               309.6               275.2               309.0               276.5               310.4               313.4               309.3
soak_s [s]                               292.9               293.3               254.7               289.6               255.2               289.0               256.5               290.4               293.4               289.3
dhat_rise90_s [s]                         1.26                1.04                1.30                1.40                0.88                1.12                1.05                1.16                1.28                1.12
entry_sag_mm [mm]                          103                 128                 106                 109                 125                 123                 120                 111                 111                 112
entry_xy_max_mm [mm]                       498                 541                 373                 389                 525                 516                 413                 415                 435                 439
entry_peak_com_mm [mm]                   499.1               542.1               374.0               389.1               526.0               516.7               413.6               415.1               434.9               439.0
entry_settle_s [s]                       230.2               230.5               274.6                 inf               260.6               308.8               275.4                 inf               313.1               300.1
com_err_mean_mm [mm]                     23.10               22.08               29.83               29.61               26.95               30.36               42.28               65.07               31.55               29.42
com_err_rms_mm [mm]                      43.27               42.42               51.14               46.23               46.52               47.34               63.25               99.61               46.99               45.66
com_err_max_mm [mm]                     241.00              241.27              252.64              261.03              238.46              264.79              245.95              436.63              231.87              247.22
ee_err_mean_mm [mm]                       4.95                4.73                7.01                7.88                5.54                7.65                8.70               13.19                7.16                6.18
ee_err_max_mm [mm]                       34.50               32.55               32.58               35.09               32.39               30.51               32.51               49.37               30.11               32.33
late_com_mm [mm]                          3.71                3.29               10.51               27.03               18.03               18.01               25.49               24.29               18.60               16.00
late_com_max_mm [mm]                      7.47                5.96               27.06               74.45               69.04               38.58               91.58               60.73               42.25               45.31
tilt_pp_deg [deg]                        2.687               2.924               4.805               6.519               2.779               6.973               6.042              14.309               2.951               3.061
tilt_mean_deg [deg]                      0.406               0.394               1.563               2.820               0.462               2.488               2.409               4.414               0.662               0.391
eR_max                                  0.1604              0.1599              0.1641              0.1927              0.1608              0.1827              0.1929              0.3017              0.1575              0.1632
u1_mean_N [N]                           47.929              47.929              47.976              48.072              47.930              48.041              48.049              48.304              47.935              47.930
tau_max_Nm [N.m]                         0.877               0.850               1.233               1.180               0.844               1.262               1.649               2.309               0.961               0.827
n_sat_frac                               0.000               0.000               0.000               0.000               0.000               0.000               0.000               0.000               0.000               0.000
stream_fresh_frac                        1.000               1.000               1.000               1.000               1.000               1.000               1.000               1.000               1.000               1.000
dhat_z_N [N]                           -11.176             -11.176             -11.203             -11.251             -11.177             -11.236             -11.246             -11.365             -11.180             -11.177
dhat_xy_N [N]                            0.195               0.187               0.360               0.613               0.225               0.543               0.512               1.046               0.210               0.175
dhat_rot_Nm [N.m]                       0.6312              0.6321              0.6121              0.6097              0.6301              0.6027              0.5816              0.5798              0.6336              0.6332
dhat_q1_Nm [N.m]                       -0.0003             -0.0003             -0.0005             -0.0002             -0.0003             -0.0005             -0.0005             -0.0005             -0.0006             -0.0003
dhat_q2_Nm [N.m]                        0.1714              0.1722              0.1477              0.1418              0.1691              0.1360              0.1101              0.1042              0.1714              0.1698
dhat_q3_Nm [N.m]                        0.0676              0.0685              0.0484              0.0420              0.0600              0.0460              0.0393              0.0313              0.0623              0.0561
dhat_q4_Nm [N.m]                       -0.0017             -0.0016             -0.0003             -0.0007             -0.0001             -0.0005             -0.0015             -0.0006             -0.0028             -0.0015
tau_q1_Nm [N.m]                         0.0002              0.0003              0.0003             -0.0001              0.0003              0.0003              0.0001             -0.0001              0.0006              0.0004
tau_q2_Nm [N.m]                         0.7440              0.7448              0.7878              0.7997              0.7384              0.8095              0.8459              0.8185              0.7356              0.7168
tau_q3_Nm [N.m]                         0.2743              0.2742              0.2765              0.2672              0.2543              0.2695              0.2845              0.2807              0.2683              0.2300
tau_q4_Nm [N.m]                         0.0036              0.0034             -0.0017             -0.0030             -0.0018             -0.0032             -0.0006             -0.0034              0.0039             -0.0026
tau_arm_absmean_Nm [N.m]                0.2596              0.2598              0.2722              0.2824              0.2540              0.2822              0.2890              0.3151              0.2644              0.2497
q1_err_deg [deg]                         0.013               0.009               0.014              -0.006              -0.004               0.006               0.014               0.124               0.054               0.026
q2_err_deg [deg]                         0.182               0.111               0.247               0.458               0.317               0.511               0.540              -0.046              -1.108              -1.343
q3_err_deg [deg]                         0.021               0.083              -0.438              -0.686              -0.237              -0.795              -0.966              -0.696               2.931               2.932
q4_err_deg [deg]                        -0.313              -0.305              -0.031               0.068               0.138              -0.008              -0.182              -0.339              -0.268              -0.789
q2_abserr_deg [deg]                      1.133               1.050               0.575               0.722               1.172               0.874               1.329               3.604               1.109               1.343
q3_abserr_deg [deg]                      1.934               1.859               0.930               1.048               2.043               1.222               1.349               4.648               2.931               2.932
