run,leg,channel,unit,peak,rms,settled_rms
l1_6d_A,step_x+,CoM pos,mm,219.5780,74.2220,11.3142
l1_6d_A,step_x+,CoM vel,mm/s,314.2381,102.6984,20.1120
l1_6d_A,step_x+,attitude,deg,5.6819,2.3207,0.5049
l1_6d_A,step_x+,EE pos,mm,14.1767,6.6837,4.7504
l1_6d_A,step_x+,EE head,deg,13.7634,9.4840,10.4399
l1_6d_A,step_x+,joints,deg,13.7361,9.5381,10.2804
l1_6d_A,step_x-,CoM pos,mm,231.8691,76.0663,45.0137
l1_6d_A,step_x-,CoM vel,mm/s,297.6446,95.3842,26.1370
l1_6d_A,step_x-,attitude,deg,6.3309,2.3994,1.8079
l1_6d_A,step_x-,EE pos,mm,11.6721,6.1859,4.7751
l1_6d_A,step_x-,EE head,deg,12.4802,9.6011,5.0325
l1_6d_A,step_x-,joints,deg,12.4308,9.7411,5.2182
l1_6d_A,step_y+,CoM pos,mm,215.5921,65.9152,38.5747
l1_6d_A,step_y+,CoM vel,mm/s,309.7813,90.6246,19.1247
l1_6d_A,step_y+,attitude,deg,5.5666,1.8245,1.8635
l1_6d_A,step_y+,EE pos,mm,8.7995,5.4846,5.3820
l1_6d_A,step_y+,EE head,deg,16.1641,10.7947,10.6628
l1_6d_A,step_y+,joints,deg,13.9560,10.8255,10.5450
l1_6d_A,step_y-,CoM pos,mm,200.6846,66.1420,20.2266
l1_6d_A,step_y-,CoM vel,mm/s,292.0295,88.7839,24.1973
l1_6d_A,step_y-,attitude,deg,5.2530,2.1591,1.2365
l1_6d_A,step_y-,EE pos,mm,9.7028,5.9434,7.1094
l1_6d_A,step_y-,EE head,deg,16.2241,10.0565,11.2851
l1_6d_A,step_y-,joints,deg,15.9247,10.2239,11.2983
l1_6d_A,step_yaw+,CoM pos,mm,47.5382,23.9188,8.2969
l1_6d_A,step_yaw+,CoM vel,mm/s,49.6240,24.2538,13.1929
l1_6d_A,step_yaw+,attitude,deg,8.9346,2.9550,0.8297
l1_6d_A,step_yaw+,EE pos,mm,30.1145,10.2602,6.4439
l1_6d_A,step_yaw+,EE head,deg,11.2251,8.3020,9.8933
l1_6d_A,step_yaw+,joints,deg,11.4162,8.3554,9.9930
l1_6d_A,step_yaw-,CoM pos,mm,37.9855,18.0644,30.4889
l1_6d_A,step_yaw-,CoM vel,mm/s,36.9365,17.8402,26.6817
l1_6d_A,step_yaw-,attitude,deg,9.0618,3.0519,1.6966
l1_6d_A,step_yaw-,EE pos,mm,29.7539,10.3900,5.9644
l1_6d_A,step_yaw-,EE head,deg,16.0110,11.9069,13.6074
l1_6d_A,step_yaw-,joints,deg,15.8571,11.7717,13.5296
l1_6d_A,traj_ee,CoM pos,mm,72.9358,37.0401,43.3912
l1_6d_A,traj_ee,CoM vel,mm/s,86.4019,41.9469,26.0136
l1_6d_A,traj_ee,attitude,deg,3.8530,1.6518,1.4173
l1_6d_A,traj_ee,EE pos,mm,20.5174,10.7048,6.4733
l1_6d_A,traj_ee,EE head,deg,12.2418,8.2189,12.0765
l1_6d_A,traj_ee,joints,deg,12.4480,8.5321,12.4010
l1_6d_A,traj_ee_back,CoM pos,mm,44.6936,28.7302,41.9929
l1_6d_A,traj_ee_back,CoM vel,mm/s,45.4914,25.3817,20.2532
l1_6d_A,traj_ee_back,attitude,deg,2.1082,1.3021,1.8159
l1_6d_A,traj_ee_back,EE pos,mm,14.0343,7.7491,4.1970
l1_6d_A,traj_ee_back,EE head,deg,14.5157,9.8006,8.6529
l1_6d_A,traj_ee_back,joints,deg,14.5870,9.7624,8.6698
l1_6d_A,traj_both,CoM pos,mm,181.9681,63.9985,41.6278
l1_6d_A,traj_both,CoM vel,mm/s,208.6744,71.3802,22.3206
l1_6d_A,traj_both,attitude,deg,6.4173,2.3404,1.2477
l1_6d_A,traj_both,EE pos,mm,19.7226,10.9159,6.7442
l1_6d_A,traj_both,EE head,deg,13.6291,8.1609,3.3835
l1_6d_A,traj_both,joints,deg,13.7944,8.8307,4.5464
l1_6d_A,traj_both_back,CoM pos,mm,42.4500,21.5300,31.3557
l1_6d_A,traj_both_back,CoM vel,mm/s,35.7913,17.2469,23.3441
