metric                         fused_A       fused_C             raw_B
------------------------------------------------------------------------------------------------
aborted                                    False                   False                   False
direct_s [s]                               161.6                   161.3                   161.9
entry_sag_mm [mm]                            119                     139                     119
entry_peak_com_mm [mm]                     519.8                   557.8                   524.5
com_err_mean_mm [mm]                       44.61                   43.69                   39.57
com_err_rms_mm [mm]                        63.31                   59.30                   60.03
com_err_max_mm [mm]                       247.15                  228.11                  239.95
ee_err_mean_mm [mm]                         7.51                    7.65                    7.66
ee_err_max_mm [mm]                         30.12                   34.53                   28.43
late_com_mm [mm]                           40.89                   43.58                   40.30
tilt_pp_deg [deg]                          3.611                   5.984                   3.445
eR_max                                    0.1619                  0.1648                  0.1463
tau_max_Nm [N.m]                           0.861                   0.947                   0.852
n_sat_frac                                 0.000                   0.000                   0.000
dhat_z_N [N]                             -11.177                 -11.199                 -11.177
q2_abserr_deg [deg]                        1.116                   1.177                   1.183
q3_abserr_deg [deg]                        2.218                   2.170                   2.242
phantom_Fraw_force_N [N]                  0.2620                  0.3817                  0.2474
n_clamped_frac                             0.000                   0.000                   0.000
dc_z_std_N [N]                             0.284                   0.300                   0.180
dhat_z_std_N [N]                          0.0891                  0.0938                  0.0546
------------------------------------------------------------------------------------------------
step_x+.peak_mm                           208.03                  185.95                  181.91
step_x+.settle_mm                          60.25                   52.47                   53.67
step_x-.peak_mm                           247.15                  228.11                  239.95
step_x-.settle_mm                          91.94                   83.65                   89.07
step_y+.peak_mm                           192.49                  159.81                  214.71
step_y+.settle_mm                          64.86                   60.76                   56.94
step_y-.peak_mm                           174.75                  182.90                  189.02
step_y-.settle_mm                          47.64                   49.18                   35.34
step_yaw+.peak_mm                          24.41                   34.83                   13.54
step_yaw+.settle_mm                        11.77                   19.40                    6.72
step_yaw-.peak_mm                          22.57                   30.18                    5.58
step_yaw-.settle_mm                        14.86                   17.53                    4.26
traj_ee.peak_mm                            35.34                   39.06                   24.11
traj_ee.settle_mm                          24.07                   23.32                   17.79
traj_ee_back.peak_mm                       47.78                   23.84                   42.99
traj_ee_back.settle_mm                     22.00                    9.46                   17.28
traj_both.peak_mm                         117.43                  111.89                  113.85
traj_both.settle_mm                        30.72                   26.80                   30.85
traj_both_back.peak_mm                    118.99                  135.86                  114.94
traj_both_back.settle_mm                   32.37                   34.45                   30.36
post_hold.peak_mm                          31.66                   43.89                   30.43
post_hold.settle_mm                        14.39                   27.17                   18.28
