rpm_center,rpm_rate_center,n_obs,total_weight,lambda_mean,lambda_std
500.0,-2750.0,21,21.0,18.37897,0.0
500.0,-1500.0,39,39.0,18.37897,0.0
500.0,-750.0,417,417.0,18.37897,0.0
500.0,-250.0,432,432.0,18.37897,0.0
500.0,250.0,101,101.0,18.37897,0.0
500.0,750.0,9,9.0,18.37897,0.0
500.0,1500.0,14,14.0,18.37897,0.0
500.0,2750.0,1,1.0,18.37897,0.0
1500.0,-2750.0,8,8.0,18.37897,0.0
1500.0,-1500.0,285,285.0,18.37897,0.0
1500.0,-750.0,152,152.0,18.37897,0.0
2500.0,-4250.0,35,35.0,18.37897,0.0
2500.0,-2750.0,151,151.0,18.37897,0.0
2500.0,1500.0,7,7.0,18.37897,0.0
2500.0,2750.0,50,50.0,18.37897,0.0
2500.0,4250.0,5,5.0,18.37897,0.0
3500.0,-4250.0,44,44.0,18.37897,0.0
3500.0,-2750.0,2,2.0,8.56414,0.0
3500.0,-1500.0,10,10.0,17.54953,2.48834
3500.0,-750.0,11,11.0,17.62493,2.38449
3500.0,-250.0,193,193.0,18.10397,1.42059
3500.0,250.0,308,308.0,18.23713,1.11054
3500.0,750.0,40,40.0,18.19223,1.16622
3500.0,1500.0,317,317.0,18.33185,0.59145
3500.0,2750.0,9,9.0,16.81477,2.92636
3500.0,4250.0,1,1.0,18.37897,0.0
4500.0,-2750.0,12,12.0,17.56107,2.71268
4500.0,-1500.0,11,11.0,15.84042,4.16231
4500.0,-750.0,8,8.0,16.30536,3.59161
4500.0,-250.0,162,162.0,18.05134,1.54499
4500.0,250.0,191,191.0,18.20163,1.21878
4500.0,750.0,31,31.0,18.13801,1.3198
4500.0,1500.0,388,388.0,18.35972,0.37873
4500.0,2750.0,4,4.0,14.75179,3.63038
4500.0,4250.0,3,3.0,16.03267,3.31818
5500.0,-4250.0,4,4.0,16.30536,3.59161
5500.0,-2750.0,18,18.0,12.26743,3.26027
5500.0,-1500.0,44,44.0,12.11133,2.71452
5500.0,-750.0,54,54.0,11.13023,3.10885
5500.0,-250.0,946,946.0,13.50007,4.80757
5500.0,250.0,1172,1172.0,15.24237,4.47711
5500.0,750.0,192,192.0,16.43555,2.87777
5500.0,1500.0,280,280.0,16.94629,2.59951
5500.0,2750.0,16,16.0,11.64897,2.77882
5500.0,4250.0,5,5.0,11.18891,2.46923
6500.0,-4250.0,106,106.0,11.05893,1.74205
6500.0,-2750.0,216,216.0,9.99603,1.75211
6500.0,-1500.0,176,176.0,8.53442,1.11818
6500.0,-750.0,10,10.0,10.99289,1.72396
6500.0,-250.0,213,213.0,12.84655,0.8224
6500.0,250.0,167,167.0,12.84161,0.76223
6500.0,750.0,11,11.0,12.47485,0.96161
6500.0,1500.0,300,300.0,12.96638,0.40586
6500.0,2750.0,241,241.0,12.92918,0.87094
6500.0,4250.0,112,112.0,11.55488,1.16484
7500.0,-4250.0,133,133.0,10.20827,0.63079
7500.0,-2750.0,186,186.0,9.70016,0.53599
7500.0,-1500.0,147,147.0,8.63948,1.03461
7500.0,-750.0,6,6.0,12.22253,1.14097
7500.0,-250.0,469,469.0,12.9202,0.67474
7500.0,250.0,272,272.0,12.85697,0.80508
7500.0,750.0,48,48.0,12.94098,0.42366
7500.0,1500.0,229,229.0,13.03362,0.21261
7500.0,2750.0,196,196.0,13.14841,0.61171
7500.0,4250.0,90,90.0,12.80583,1.47045
8500.0,-4250.0,55,55.0,10.53734,0.58281
8500.0,-2750.0,148,148.0,10.01785,0.51601
8500.0,-1500.0,172,172.0,9.0462,0.97351
8500.0,-750.0,63,63.0,9.12059,0.99584
8500.0,-250.0,382,382.0,12.28539,1.651
8500.0,250.0,294,294.0,12.11221,1.76751
8500.0,750.0,106,106.0,11.60711,1.94475
8500.0,1500.0,197,197.0,12.0034,1.61049
8500.0,2750.0,121,121.0,11.80546,1.82566
8500.0,4250.0,49,49.0,9.22418,1.58468
